Image,ImageSize,ImageValue,HueValue,SatValue
Image106,19,28424,13,26
Image107,19,350046,7.8542,15.7084
Image108,3,230080,26,52
Image109,42,4579,8.4042,16.8084
Image110,24,248747,13,26
Image111,28,345770,9.5,19
Image112,34,3101264,6.4958,12.9916
Image113,45.5,2628,7.225,14.45
Image114,2,347054,10.4625,20.925
Image115,32,3101278,15.85,31.7
Image116,26,2699,18.7875,37.575
Image117,16,367231,7.75,15.5
Image118,40,112277,31,62
Image119,30,250646,13,26
Image120,31,35273,113.275,226.55
Image121,42,243847,27,54
Image122,32,11813,76.2917,152.5834
Image123,27,220367,13,26
Image124,51,21440,8.05,16.1
Image125,38,19943,90,180
Image126,18,236171,13,26
Image127,35,36973,83.475,166.95
Image128,29,347067,7.775,15.55
Image129,59,237442,13.5,27
Image130,5,347077,31.3875,62.775
Image131,44,26707,26,52
Image132,19,28665,10.5,21
Image133,30,2694,7.225,14.45
Image134,44,19928,90,180
Image135,25,347071,7.775,15.55
Image136,24,250649,14.5,29
Image137,37,11751,52.5542,105.1084
Image138,54,244252,26,52
Image139,29,347054,10.4625,20.925
Image140,62,113514,26.55,53.1
Image141,41,370129,20.2125,40.425
Image142,29,2650,15.2458,30.4916
Image143,30,110152,86.5,173
Image144,50,230433,26,52
Image145,3,347077,31.3875,62.775
Image146,52,110413,79.65,159.3
Image147,40,112059,0,0
Image148,16,3101295,39.6875,79.375
Image149,25,347083,7.775,15.55
Image150,41,250644,19.5,39
Image151,63,13502,77.9583,155.9166
Image152,45,347073,7.75,15.5
Image153,7,382652,29.125,58.25
Image154,65,336439,7.75,15.5
Image155,28,347464,7.8542,15.7084
Image156,16,345778,9.5,19
Image157,33,349239,8.6625,17.325
Image158,30,345774,9.5,19
Image159,22,349206,7.8958,15.7916
Image160,42,237798,13,26
Image161,22,370373,7.75,15.5
Image162,26,19877,78.85,157.7
Image163,19,11967,91.0792,182.1584
Image164,24,349236,8.85,17.7
Image165,24,349233,7.8958,15.7916
Image166,23.5,2693,7.2292,14.4584
Image167,2,113781,151.55,303.1
Image168,0.92,113781,151.55,303.1
Image169,24,11767,83.1583,166.3166
Image170,26,250651,26,52
Image171,28,349243,7.8958,15.7916
Image172,26,347470,7.8542,15.7084
Image173,24,244367,26,52
Image174,54,29011,14,28
Image175,31,36928,164.8667,329.7334
Image176,40,16966,134.5,269
Image177,27,349219,7.8958,15.7916
Image178,30,234818,12.35,24.7
Image179,22,248738,29,58
Image180,61,345364,6.2375,12.475
Image181,36,28551,13,26
Image182,31,363291,20.525,41.05
Image183,16,111361,57.9792,115.9584
Image184,45.5,113043,28.5,57
Image185,16,345764,18,36
Image186,29,113776,66.6,133.2
Image187,41,16966,134.5,269
Image188,45,7598,8.05,16.1
Image189,45,113784,35.5,71
Image190,2,230080,26,52
Image191,24,19950,263,526
Image192,28,248740,13,26
Image193,25,244361,13,26
Image194,36,229236,13,26
Image195,24,248733,13,26
Image196,40,31418,13,26
Image197,42,315088,8.6625,17.325
Image198,23,7267,9.225,18.45
Image199,15,2695,7.2292,14.4584
Image200,25,349237,17.8,35.6
Image201,28,345783,9.5,19
Image202,22,113505,55,110
Image203,38,237671,13,26
Image204,40,347088,27.9,55.8
Image205,45,2691,14.4542,28.9084
Image206,60,110813,75.25,150.5
Image207,25,11765,55.4417,110.8834
Image208,18,3101267,6.4958,12.9916
Image209,19,323951,8.05,16.1
Image210,3,349909,21.075,42.15
Image211,27,113503,211.5,423
Image212,20,2648,4.0125,8.025
Image213,19,347069,7.775,15.55
Image214,1,2653,15.7417,31.4834
Image215,35,113789,52,104
Image216,36,27849,13,26
Image217,36,113760,120,240
Image218,21,350034,7.7958,15.5916
Image219,28,3101277,7.925,15.85
Image220,23,35273,113.275,226.55
Image221,22,350052,7.7958,15.5916
Image222,31,350407,7.8542,15.7084
Image223,46,28403,26,52
Image224,23,244278,10.5,21
Image225,28,240929,12.65,25.3
Image226,26,341826,8.05,16.1
Image227,21,4137,9.825,19.65
Image228,20,315096,8.6625,17.325
Image229,34,28664,21,42
Image230,51,347064,7.75,15.5
Image231,3,29106,18.75,37.5
Image232,21,312992,7.775,15.55
Image233,33,19928,90,180
Image234,34,28220,32.5,65
Image235,18,250652,13,26
Image236,30,28228,13,26
Image237,10,345773,24.15,48.3
Image238,29,315082,7.875,15.75
Image239,28,347080,14.4,28.8
Image240,18,370129,20.2125,40.425
Image241,28,2003,26,52
Image242,19,250655,26,52
Image243,28,110564,26.55,53.1
Image244,50,13507,55.9,111.8
Image245,14,113760,120,240
Image246,24,29106,18.75,37.5
Image247,64,19950,263,526
Image248,20,345769,9.5,19
Image249,25,347076,7.775,15.55
Image250,28,230434,13,26
Image251,4,33638,81.8583,163.7166
Image252,13,250644,19.5,39
Image253,34,113794,26.55,53.1
Image254,5,2666,19.2583,38.5166
Image255,52,113786,30.5,61
Image256,30,113051,27.75,55.5
Image257,49,17453,89.1042,178.2084
Image258,29,349240,7.8958,15.7916
Image259,65,13509,26.55,53.1
Image260,48,19952,26.55,53.1
Image261,34,364506,8.05,16.1
Image262,47,111320,38.5,77
Image263,48,234360,13,26
Image264,56,113792,26.55,53.1
Image265,0.75,2666,19.2583,38.5166
Image266,38,315089,8.6625,17.325
Image267,22,7553,9.8375,19.675
Image268,34,31027,21,42
Image269,29,3460,7.0458,14.0916
Image270,22,350060,7.5208,15.0416
Image271,2,3101298,12.2875,24.575
Image272,63,4134,9.5875,19.175
Image273,25,11967,91.0792,182.1584
Image274,35,19943,90,180
Image275,58,11771,29.7,59.4
Image276,55,113787,30.5,61
Image277,54,36947,78.2667,156.5334
Image278,25,113781,151.55,303.1
Image279,24,350035,7.7958,15.5916
Image280,17,315086,8.6625,17.325
Image281,21,364846,7.75,15.5
Image282,37,4135,9.5875,19.175
Image283,16,110152,86.5,173
Image284,33,26360,26,52
Image285,26,1601,56.4958,112.9916
Image286,29,382651,7.75,15.5
Image287,24,349209,7.4958,14.9916
Image288,47,36967,34.0208,68.0416
Image289,36,226875,26,52
Image290,32,349242,7.8958,15.7916
Image291,30,12749,93.5,187
Image292,22,349252,7.8958,15.7916
Image293,44,111361,57.9792,115.9584
Image294,40.5,367232,7.75,15.5
Image295,39,3101296,7.925,15.85
Image296,23,29104,11.5,23
Image297,2,26360,26,52
Image298,17,2690,7.2292,14.4584
Image299,30,315084,8.6625,17.325
Image300,45,113050,26.55,53.1
Image301,22,13568,49.5,99
Image302,9,347082,31.275,62.55
Image303,11,347082,31.275,62.55
Image304,32,2908,26,52
Image305,64,693,26,52
Image306,19,2908,26,52
Image307,33,363291,20.525,41.05
Image308,17,17421,110.8833,221.7666
Image309,27,244358,26,52
Image310,22,2620,7.225,14.45
Image311,22,347085,7.775,15.55
Image312,62,113807,26.55,53.1
Image313,48,11755,39.6,79.2
Image314,39,110413,79.65,159.3
Image315,36,345572,17.4,34.8
Image316,40,349251,7.8958,15.7916
Image317,28,218629,13.5,27
Image318,19,349205,7.8958,15.7916
Image319,29,349909,21.075,42.15
Image320,32,350417,7.8542,15.7084
Image321,53,11769,51.4792,102.9584
Image322,19,358585,14.5,29
Image323,34,243880,13,26
Image324,39,13507,55.9,111.8
Image325,25,237789,30,60
Image326,39,17421,110.8833,221.7666
Image327,54,28403,26,52
Image328,36,13049,40.125,80.25
Image329,18,110413,79.65,159.3
Image330,47,237565,15,30
Image331,60,13567,79.2,158.4
Image332,22,14973,8.05,16.1
Image333,52,36947,78.2667,156.5334
Image334,36,345773,24.15,48.3
Image335,24,243847,27,54
Image336,44,364511,8.05,16.1
Image337,35,111426,26.55,53.1
Image338,36,349910,15.55,31.1
Image339,30,349246,7.8958,15.7916
Image340,27,113804,30.5,61
Image341,39,347082,31.275,62.55
Image342,35,364512,8.05,16.1
Image343,24,220845,65,130
Image344,34,347080,14.4,28.8
Image345,4,230136,39,78
Image346,26,31028,10.5,21
Image347,27,2659,14.4542,28.9084
Image348,42,11753,52.5542,105.1084
Image349,20,2653,15.7417,31.4834
Image350,21,350029,7.8542,15.7084
Image351,21,54636,16.1,32.2
Image352,61,36963,32.3208,64.6416
Image353,57,219533,12.35,24.7
Image354,21,13502,77.9583,155.9166
Image355,26,349224,7.8958,15.7916
Image356,80,27042,30,60
Image357,51,347743,7.0542,14.1084
Image358,32,13214,30.5,61
Image359,9,347088,27.9,55.8
Image360,28,237668,13,26
Image361,41,3101295,39.6875,79.375
Image362,20,350050,7.8542,15.7084
Image363,2,347088,27.9,55.8
Image364,0.75,2666,19.2583,38.5166
Image365,19,349231,7.8958,15.7916
Image366,56,13213,35.5,71
Image367,18,231919,23,46
Image368,21,8475,8.4333,16.8666
Image369,18,365226,6.75,13.5
Image370,32,364849,15.5,31
Image371,23,29751,13,26
Image372,58,35273,113.275,226.55
Image373,40,2623,7.225,14.45
Image374,47,5727,25.5875,51.175
Image375,36,349210,7.4958,14.9916
Image376,25,234686,13,26
Image377,40,29750,39,78
Image378,31,244270,13,26
Image379,18,349912,7.775,15.55
Image380,24.5,342826,8.05,16.1
Image381,18,4138,9.8417,19.6834
Image382,20,6563,9.225,18.45
Image383,60,29750,39,78
Image384,14,3101295,39.6875,79.375
Image385,19,349228,10.1708,20.3416
Image386,18,350036,7.7958,15.5916
Image387,15,24160,211.3375,422.675
Image388,31,17474,57,114
Image389,4,349256,13.4167,26.8334
Image390,25,2672,7.225,14.45
Image391,60,113800,26.55,53.1
Image392,52,248731,13.5,27
Image393,44,363592,8.05,16.1
Image394,49,17421,110.8833,221.7666
Image395,42,348121,7.65,15.3
Image396,18,2691,14.4542,28.9084
Image397,25,36864,7.7417,15.4834
Image398,26,350025,7.8542,15.7084
Image399,39,250655,26,52
Image400,45,223596,13.5,27
Image401,22,113781,151.55,303.1
Image402,48,19996,52,104
Image403,29,7545,9.4833,18.9666
Image404,52,250647,13,26
Image405,19,348124,7.65,15.3
Image406,27,34218,10.5,21
Image407,33,347062,7.775,15.55
Image408,6,248727,33,66
Image409,17,350048,7.0542,14.1084
Image410,34,12233,13,26
Image411,50,250643,13,26
Image412,27,113806,53.1,106.2
Image413,20,315094,8.6625,17.325
Image414,30,31027,21,42
Image415,25,236853,26,52
Image416,29,24160,211.3375,422.675
Image417,11,2699,18.7875,37.575
Image418,23,28425,13,26
Image419,23,233639,13,26
Image420,28.5,54636,16.1,32.2
Image421,36,19877,78.85,157.7
Image422,24,376566,16.1,32.2
Image423,30,250648,13,26
Image424,19,113773,53.1,106.2
Image425,31,335097,7.75,15.5
Image426,4,29103,23,46
Image427,6,392096,12.475,24.95
Image428,33,345780,9.5,19
Image429,23,349204,7.8958,15.7916
Image430,48,220845,65,130
Image431,0.67,250649,14.5,29
Image432,28,350042,7.7958,15.5916
Image433,18,29108,11.5,23
Image434,34,363294,8.05,16.1
Image435,33,110152,86.5,173
Image436,20,2663,7.2292,14.4584
Image437,36,113760,120,240
Image438,16,347074,7.775,15.55
Image439,51,13502,77.9583,155.9166
Image440,30.5,364850,7.75,15.5
Image441,32,8471,8.3625,16.725
Image442,24,345781,9.5,19
Image443,48,350047,7.8542,15.7084
Image444,54,29105,23,46
Image445,18,347078,7.75,15.5
Image446,5,364516,12.475,24.95
Image447,43,24160,211.3375,422.675
Image448,13,2687,7.2292,14.4584
Image449,17,17474,57,114
Image450,29,113501,30,60
Image451,25,374887,7.25,14.5
Image452,18,3101265,7.4958,14.9916
Image453,8,382652,29.125,58.25
Image454,16,239865,26,52
Image455,25,349203,7.8958,15.7916
Image456,39,28213,13,26
Image457,49,17465,25.9292,51.8584
Image458,31,349244,8.6833,17.3666
Image459,30,2685,7.2292,14.4584
Image460,30,345773,24.15,48.3
Image461,34,250647,13,26
Image462,11,113760,120,240
Image463,0.42,2625,8.5167,17.0334
Image464,27,347089,6.975,13.95
Image465,31,347063,7.775,15.55
Image466,39,112050,0,0
Image467,18,347087,7.775,15.55
Image468,39,248723,13,26
Image469,33,113806,53.1,106.2
Image470,26,3474,7.8875,15.775
Image471,35,28206,10.5,21
Image472,6,347082,31.275,62.55
Image473,30.5,364499,8.05,16.1
Image474,10,347088,27.9,55.8
Image475,52,12749,93.5,187
Image476,27,315098,8.6625,17.325
Image477,38,19972,0,0
Image478,27,392096,12.475,24.95
Image479,2,3101295,39.6875,79.375
Image480,62,113572,80,160
Image481,15,2659,14.4542,28.9084
Image482,0.83,29106,18.75,37.5
Image483,23,347468,7.8542,15.7084
Image484,18,2223,8.3,16.6
Image485,21,315097,8.6625,17.325
Image486,32,1601,56.4958,112.9916
Image487,30,113798,31,62
Image488,34.5,2683,6.4375,12.875
Image489,17,315090,8.6625,17.325
Image490,35,349213,7.8958,15.7916
Image491,28,248727,33,66
Image492,4,347082,31.275,62.55
Image493,74,347060,7.775,15.55
Image494,9,2678,15.2458,30.4916
Image495,44,244252,26,52
Image496,18,392091,9.35,18.7
Image497,45,36928,164.8667,329.7334
Image498,51,113055,26.55,53.1
Image499,24,2666,19.2583,38.5166
Image500,41,350026,14.1083,28.2166
Image501,21,28134,11.5,23
Image502,48,17466,25.9292,51.8584
Image503,24,233866,13,26
Image504,42,236852,13,26
Image505,4,347742,11.1333,22.2666
Image506,26,349248,7.8958,15.7916
Image507,47,11751,52.5542,105.1084
Image508,33,695,5,10
Image509,47,345765,9,18
Image510,15,2667,7.225,14.45
Image511,20,7534,9.8458,19.6916
Image512,19,349212,7.8958,15.7916
Image513,56,11767,83.1583,166.3166
Image514,25,230433,26,52
Image515,33,349257,7.8958,15.7916
Image516,22,7552,10.5167,21.0334
Image517,39,382652,29.125,58.25
Image518,27,211536,13,26
Image519,19,112053,30,60
Image520,26,111369,30,60
Image521,32,370376,7.75,15.5
